9.951629595481654711e-01,1.315454297123962002e+00,1.436194148356758848e+00,1.483737690437445744e+00,1.348217510263320706e+00,1.427746063653478448e+00,1.444279137634706611e+00,1.378173351925104928e+00,1.302949748428188670e+00,1.384059807082973492e+00,1.401562708150501768e+00,1.449394371455638764e+00,1.349581266331981944e+00,1.335727476154914273e+00,1.347190093787294929e+00,1.376927026766871398e+00,1.382116620889751513e+00,1.381126488066362956e+00,1.377646540663724606e+00,1.327797344291836268e+00,1.376695895757440224e+00,1.380532481868440131e+00,1.356597498292684278e+00,1.376894365907088025e+00,1.401397692670617090e+00,1.354758780117393258e+00,1.391333507496139044e+00,1.374674045631219421e+00,1.372251970743279426e+00,1.372806845350034388e+00,1.411844130650278917e+00,1.370154128041963570e+00,1.391336032861570038e+00,1.368451773904222346e+00,1.418547270557247719e+00,1.360577608319117449e+00,1.347986903861579044e+00,1.282843499777755580e+00,1.365771697213087110e+00,1.352495095209485632e+00,1.396789914492347906e+00,1.410830651668294244e+00,1.394572014660400816e+00,1.350100572827988010e+00,1.381134399550231207e+00,1.355517310021756350e+00,1.403495496847874557e+00,1.374005557475057593e+00,1.323962584572444090e+00,1.372513694955958652e+00,1.421544440435520640e+00,1.357878089602313487e+00,1.427698849094890754e+00,1.394604655613183253e+00,1.422151407051893024e+00,1.372853919893056052e+00,1.371540861547597689e+00,1.364613274648712293e+00,1.288189541197875432e+00,1.403812310629181104e+00,1.329575848801559212e+00,1.334541093491520725e+00,1.382533797494197803e+00,1.338114784178044525e+00,1.406089515137500356e+00,1.367584316671273115e+00,1.370249424839417474e+00,1.375054858803963498e+00,1.370785164357852137e+00,1.329005311804972278e+00,1.386950802004976557e+00,1.356187442702328827e+00,1.380042750513049254e+00,1.371484347811361637e+00,1.377755227962293771e+00,1.418154128528205327e+00,inf,1.340399896294510951e+00,1.363405465234512226e+00,1.341695203825225668e+00,1.374288036320765238e+00,1.374220646720074823e+00,1.361307162308692753e+00,1.395444341722281711e+00,1.389938113485188698e+00,1.375292593804642305e+00,1.382175468152692765e+00,1.379331863794685420e+00,1.383618216415994917e+00,1.333250245896694386e+00,1.402402186778647586e+00,1.357709401316960607e+00,1.352594323081238725e+00,1.429393460009426020e+00,1.352188448407875443e+00,1.367071007622945533e+00,1.373620985332472788e+00,1.387724230789046720e+00,1.339581129390915670e+00,1.389948322609575460e+00
1.327369673240428094e+00,1.171867585536443768e+00,1.438819876917546203e+00,1.475265083378107800e+00,1.318552084132754487e+00,1.395150319692134211e+00,1.417866038155604080e+00,1.348864071708754331e+00,1.349620556556093476e+00,1.329805755417549529e+00,1.384941093785652555e+00,1.455607064785082949e+00,1.346096356782428227e+00,1.364210197565381311e+00,1.373788044901485206e+00,1.359706689438084926e+00,1.374674776903482609e+00,1.376194504745100966e+00,1.364929931917676198e+00,1.319301016266854809e+00,1.367336584002901922e+00,1.375081663900814544e+00,1.340972793418794495e+00,1.363669311800275175e+00,1.384876433665685358e+00,1.378438446783523785e+00,1.369907007497135343e+00,1.358427955266317433e+00,1.378960105519219326e+00,1.365791627708961453e+00,1.390199113534908104e+00,1.363984185845383390e+00,1.392271576559565904e+00,1.347246696303108227e+00,1.404271252215953503e+00,1.380953405711046855e+00,1.369725287304743855e+00,1.339417543041613090e+00,1.398533823280028177e+00,1.343222598607690221e+00,1.376427635273806738e+00,1.390443643910150850e+00,1.349477055847391638e+00,1.350607921417990465e+00,1.414754689496122486e+00,1.320214495966645751e+00,1.338335255364153875e+00,1.334589199247774971e+00,1.360936113996980890e+00,1.360966191208003995e+00,1.387574666499177711e+00,1.356837169446902136e+00,1.467315397430822621e+00,1.406393177792077287e+00,1.375154106308670521e+00,1.371810336685326925e+00,1.391629436477087811e+00,1.316036069512594997e+00,1.337488502212350827e+00,1.380847853462849217e+00,1.367644569842726199e+00,1.346166021680871738e+00,1.388565822539391093e+00,1.336881096071363295e+00,1.352815800438986304e+00,1.364136894437974812e+00,1.372709727906617161e+00,1.387861698117147213e+00,1.368751389862237433e+00,1.335151363348116682e+00,1.415594979194007674e+00,1.345598124022701736e+00,1.364047495746972816e+00,1.360242511959114386e+00,1.376931191120058795e+00,1.418202886303623345e+00,inf,1.374731193687833031e+00,1.360421267088516073e+00,1.364776762811934274e+00,1.387458513928030879e+00,1.350501111372103047e+00,1.382330214467226925e+00,1.438364092682558271e+00,1.375553166560701035e+00,1.363890146444797224e+00,1.373830379093835319e+00,1.322386439647143197e+00,1.406702890528928052e+00,1.343365332766017106e+00,1.416822844071685017e+00,1.392298131159010577e+00,1.371644729485158365e+00,1.457332513309078648e+00,1.349289320604811326e+00,1.354608851824428362e+00,1.315418278571516275e+00,1.364659430395608997e+00,1.332529217812486788e+00,1.367813111989504948e+00
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.475377082260459272e+00,1.452720659060916297e+00,1.356052756309509277e+00,1.042105913162231445e+00,1.453143868502497549e+00,1.409177400181889528e+00,1.167924788592606733e+00,1.399901466668246108e+00,1.444297082356339912e+00,1.453277139121135653e+00,1.458002483206677136e+00,1.450676040967047165e+00,1.408991989488691532e+00,1.473492920539073214e+00,1.499217716261598721e+00,1.455618841013509357e+00,1.434765080759763611e+00,1.527614704207706398e+00,1.506738599544768631e+00,1.490875152713523111e+00,1.468219810888993671e+00,1.513953059156961434e+00,1.452586377137768281e+00,1.508369047439158006e+00,1.458249033282515983e+00,1.481441441225198385e+00,1.397322086257267060e+00,1.506558444415418752e+00,1.442963840079770410e+00,1.519909420160591607e+00,1.545262091415524619e+00,1.503322027128219496e+00,1.472518719819625455e+00,1.479684702908117266e+00,1.388372507901430186e+00,1.471489722119594168e+00,1.463027762031257062e+00,1.480379550532639366e+00,1.518923852781057571e+00,1.480336667180760735e+00,1.495845864562511451e+00,1.496193803727007055e+00,1.475775243238698575e+00,1.500248904506114034e+00,1.392808079719543457e+00,1.360675655053377175e+00,1.455869122681617833e+00,1.528912163478422404e+00,1.522504133169875651e+00,1.519475513497734465e+00,1.452590077688634240e+00,1.474693050574148678e+00,1.471399664878845215e+00,1.417444467544555664e+00,1.448342118045508942e+00,1.478369604280403093e+00,1.432788676775359926e+00,1.500758812608554704e+00,1.446516192140221646e+00,1.477156977500530433e+00,1.523877146540876248e+00,1.470162771676227553e+00,1.394792792989373309e+00,1.484428560089586568e+00,1.439923168114788599e+00,1.418268561363220215e+00,1.507379983328819506e+00,1.491973483067631889e+00,1.486427610641718022e+00,1.445345267592573091e+00,1.488636432596206483e+00,1.436907343399067116e+00,1.464478138452532496e+00,1.479880690867341864e+00,1.439143919376707048e+00,1.476228437639069746e+00,inf,1.524364205767977598e+00,1.469096660598035564e+00,1.441130395761313521e+00,1.462567299485355576e+00,1.506115690178800426e+00,1.485698324649721291e+00,1.519292831420898438e+00,1.511711232647389158e+00,1.471446952793061591e+00,1.519824808198513955e+00,1.446557960908217755e+00,1.503320432280096819e+00,1.514772174043498731e+00,1.506039436820296284e+00,1.494117280088102628e+00,1.454503681786239344e+00,1.525776505470275657e+00,1.451218181576533039e+00,1.469066252297162922e+00,1.491104024076574275e+00,1.409629875979952374e+00,1.444068056557417323e+00,1.399979320637583680e+00
1.342152931824067918e+00,1.346335703435357800e+00,1.424704098672009422e+00,1.462054483202151367e+00,1.109403240185865336e+00,1.382853050018644003e+00,1.435583110399489382e+00,1.360560018065535060e+00,1.355833596111010841e+00,1.359959584298761293e+00,1.351156950666845491e+00,1.446188231130373980e+00,1.348524963708446434e+00,1.372277266493716397e+00,1.399076389463165704e+00,1.339630726519528192e+00,1.390790422233268098e+00,1.387335277530322486e+00,1.354239329758778698e+00,1.359468088486500692e+00,1.349635541111100734e+00,1.381331948042934910e+00,1.324107113619264586e+00,1.393243149990313290e+00,1.383299324197580615e+00,1.350488828355900672e+00,1.369381534402335676e+00,1.361825742636104675e+00,1.365775713686257609e+00,1.410500411044281366e+00,1.393275365727284720e+00,1.342478417530855284e+00,1.391315362101825048e+00,1.371077898731130507e+00,1.400745016286039313e+00,1.375354707830419354e+00,1.354410807762542968e+00,1.368891132834129998e+00,1.405326569979612250e+00,1.355340168339871809e+00,1.386008187663342106e+00,1.388320393274921072e+00,1.342908574526103571e+00,1.371376172227724677e+00,1.406242425684484099e+00,1.335630983355965196e+00,1.412511083650814125e+00,1.378816764757553548e+00,1.381034233684959922e+00,1.386802616924023068e+00,1.384867946964859042e+00,1.361901693423153592e+00,1.474294428619361996e+00,1.390820621391860801e+00,1.390089904787610742e+00,1.380562584229633627e+00,1.374796791338851909e+00,1.375837155996731509e+00,1.357769938482543459e+00,1.393440507342578183e+00,1.388553059821965752e+00,1.347310228491419792e+00,1.405301110783816920e+00,1.375771495708456804e+00,1.377496973596407770e+00,1.400989852302415128e+00,1.374630013238615112e+00,1.412314183524069788e+00,1.359696540907910922e+00,1.346487034649789916e+00,1.412587116789870034e+00,1.338250278975375629e+00,1.405129939571145181e+00,1.334254590319198241e+00,1.373558916821507880e+00,1.415111705392225749e+00,inf,1.361491823269590506e+00,1.339167319171934212e+00,1.385154946895210015e+00,1.365382249778714030e+00,1.381207859488903900e+00,1.391949461508583452e+00,1.441464350779039894e+00,1.373787253131262931e+00,1.388036608889433365e+00,1.401630895477894878e+00,1.381141631781807488e+00,1.410143201433791127e+00,1.336490579331014672e+00,1.447548131305593122e+00,1.382799096831706320e+00,1.381427649759190635e+00,1.457907438862545924e+00,1.367708810929391783e+00,1.380082267070799285e+00,1.392427057626109965e+00,1.380077513959765634e+00,1.313293232880403671e+00,1.360262363676247421e+00
1.447404301725572218e+00,1.418201254424376945e+00,1.383110230238437488e+00,1.414706787581086145e+00,1.411366929054513442e+00,5.559218416930437057e-01,1.383933177141100090e+00,1.390492032088822993e+00,1.416688983345885333e+00,1.417251846893445189e+00,1.368585323855823654e+00,1.391674878908157442e+00,1.431972879013848621e+00,1.438441492589012993e+00,1.440010642295931564e+00,1.405673737355848774e+00,1.444604431140124712e+00,1.442842671386003639e+00,1.415957997512791611e+00,1.435297577229296628e+00,1.409297617110560230e+00,1.416583683762155488e+00,1.401097969705057178e+00,1.460601582281462862e+00,1.365344306825843512e+00,1.445603940382028885e+00,1.389927072510147132e+00,1.438165430282835722e+00,1.422516840546862449e+00,1.464037276843309421e+00,1.436227260836124398e+00,1.406898498388552632e+00,1.417971516625925688e+00,1.409747733529087776e+00,1.456630684014797339e+00,1.468119288557810709e+00,1.392124016971469036e+00,1.443568396275412669e+00,1.479033014023101389e+00,1.428035486635291340e+00,1.396328467262774709e+00,1.387512826305628000e+00,1.388623623417643893e+00,1.421056054065422014e+00,1.458626728683471541e+00,1.388020441960096552e+00,1.446002973681092207e+00,1.437241055019379044e+00,1.434686452475722351e+00,1.450444860504818356e+00,1.390383894756317185e+00,1.373799553756259284e+00,1.450920398673772871e+00,1.411167991491615759e+00,1.375913640335738819e+00,1.427142069897681331e+00,1.411399687550640270e+00,1.435894654048166297e+00,1.443170024963378983e+00,1.354822821685412793e+00,1.443115021006888599e+00,1.364055839126977920e+00,1.441637859357774332e+00,1.451034864901155519e+00,1.416495212490732403e+00,1.427453298329651510e+00,1.396782974097204422e+00,1.437458642916053408e+00,1.440669710249876889e+00,1.408731955099523203e+00,1.423790363947033955e+00,1.425153980878766991e+00,1.428638564741460781e+00,1.410913975081399041e+00,1.437620419272661154e+00,1.420038134201391911e+00,inf,1.385999513443632258e+00,1.443038095985574198e+00,1.433495368213188570e+00,1.434640321265995500e+00,1.414601991911959455e+00,1.434519109562516270e+00,1.445080409374237096e+00,1.415085697535268139e+00,1.385448740886390251e+00,1.403951583219128496e+00,1.435938121403309342e+00,1.403110097538047496e+00,1.441453241693712917e+00,1.462208679480992757e+00,1.426518174403032857e+00,1.380355883010327966e+00,1.511054721860289662e+00,1.420754191789366683e+00,1.401772866531014516e+00,1.448710589847769903e+00,1.260879908143683670e+00,1.399215734694111424e+00,1.427085351368486910e+00
1.417745872583647593e+00,1.393281488439452431e+00,1.399748108892237886e+00,1.300420235852497663e+00,1.418111543567797561e+00,1.341568731762291300e+00,8.396537912013507521e-01,1.325920270774977094e+00,1.394211239540207092e+00,1.323306924311460797e+00,1.404352317199485167e+00,1.425506804173750863e+00,1.379016497337635538e+00,1.424467989246450239e+00,1.426164693924437898e+00,1.419966450688319171e+00,1.379032426436639813e+00,1.465710807669120541e+00,1.460233634950263371e+00,1.434692598825011212e+00,1.418178176279207392e+00,1.434550873788515535e+00,1.328273418819376550e+00,1.439582188104981286e+00,1.416351329638808165e+00,1.444072967050396672e+00,1.106569164447230857e+00,1.433173709946094387e+00,1.375378078174028795e+00,1.458534061501134405e+00,1.465963330380164908e+00,1.440671001275736662e+00,1.350427150712644631e+00,1.420910485107716559e+00,1.404656954100898192e+00,1.428073986947275609e+00,1.412853449213440804e+00,1.422054600808625224e+00,1.466922521144596203e+00,1.398687627637071662e+00,1.443423783602925781e+00,1.434929927968594310e+00,1.397577843856674829e+00,1.443376704028812796e+00,1.409483600237781076e+00,1.327919837667549841e+00,1.401661522355846845e+00,1.462363390695222698e+00,1.463677627330115971e+00,1.455773285949136131e+00,1.420842321490623616e+00,1.395419059086797864e+00,1.456958411329810188e+00,1.388612352161755492e+00,1.386634978759226255e+00,1.407789329558832181e+00,1.370756344693125017e+00,1.431371444468034770e+00,1.404242653694750542e+00,1.415668225342191500e+00,1.465351174253374467e+00,1.396713580462139781e+00,1.390453968566711440e+00,1.432921473637046139e+00,1.384328156172028645e+00,1.376765630504219518e+00,1.444038077568333245e+00,1.445474793354994070e+00,1.440475246273196008e+00,1.393372633632282032e+00,1.448965838927934513e+00,1.394166954864917818e+00,1.409563445656120573e+00,1.414704114861412787e+00,1.429172685514830787e+00,1.437218781896466790e+00,inf,1.451017389059209517e+00,1.402976877201939976e+00,1.366520341971731112e+00,1.407402903118461390e+00,1.438097486233468780e+00,1.446693143070777676e+00,1.432264628643363125e+00,1.414424105117325636e+00,1.427970866910667658e+00,1.439343752588321035e+00,1.377578638679173961e+00,1.457936071805848499e+00,1.455334001109730657e+00,1.458141672432532676e+00,1.443754225621865617e+00,1.416311883900458479e+00,1.498596751723621834e+00,1.392424905460964313e+00,1.431934411477483904e+00,1.415250206613335004e+00,1.319186330515661920e+00,1.354415124349177324e+00,1.376537250876713081e+00
1.384680761665209925e+00,1.356424059094152756e+00,1.398089816544203279e+00,1.353140635947976733e+00,1.365986685303214987e+00,1.358606693621727146e+00,1.314892912587476426e+00,9.268696077541117573e-01,1.333852948221173840e+00,1.246808918738934402e+00,1.256883695909968068e+00,1.405412908948204365e+00,1.328414254835199593e+00,1.370491425902648608e+00,1.411656064850881798e+00,1.358950862788211866e+00,1.363147418714429460e+00,1.421860813108522414e+00,1.394379690589308218e+00,1.381252232852784756e+00,1.391615627573888236e+00,1.398493601088787397e+00,1.346987765769979806e+00,1.401076168099813168e+00,1.402047054685079619e+00,1.371851190830978950e+00,1.314974466116161533e+00,1.395878223709394517e+00,1.358840057533655221e+00,1.445211250326331909e+00,1.435790046029138844e+00,1.404583276730263064e+00,1.396131635122828341e+00,1.370567810073791470e+00,1.384937130919947412e+00,1.377334447291580499e+00,1.358896365490435576e+00,1.386703004350049451e+00,1.427411168949894060e+00,1.356721634077654004e+00,1.398055776948688989e+00,1.431989869073994059e+00,1.369672333697520283e+00,1.379759551339309054e+00,1.366481528698210601e+00,1.319828932255838305e+00,1.380728283895053421e+00,1.425377984661395425e+00,1.390733692903896701e+00,1.414204451522368844e+00,1.387477430765849729e+00,1.358850515708165618e+00,1.456092722471800549e+00,1.377950766518666326e+00,1.373251389949866619e+00,1.361354785011919422e+00,1.382085072905179457e+00,1.401237378034871472e+00,1.347383271200864874e+00,1.398162871014622555e+00,1.423408687660522531e+00,1.348245437681776071e+00,1.362954301572601112e+00,1.400554427763547771e+00,1.323765140908705451e+00,1.392840833380903254e+00,1.362698643294297574e+00,1.423358980523127038e+00,1.395357801680017662e+00,1.329652366553008003e+00,1.423587609411550714e+00,1.368719660419080775e+00,1.397445239552749907e+00,1.348346160935834925e+00,1.368963656530282957e+00,1.395515567395743339e+00,inf,1.401481490313197353e+00,1.356074218046361191e+00,1.362142350809407043e+00,1.366117028604576511e+00,1.401658233428071609e+00,1.412544046038417767e+00,1.471268809151719203e+00,1.374079755458067709e+00,1.393056130669364290e+00,1.420462891337410438e+00,1.348555351034869565e+00,1.424100006695003806e+00,1.398049881706172393e+00,1.445000550605985534e+00,1.431109965048833477e+00,1.368983378004448692e+00,1.480952648277433781e+00,1.326520743713605510e+00,1.365427054284367836e+00,1.400700788475476966e+00,1.265542110395032616e+00,1.337098318168287392e+00,1.347564614802050587e+00
1.321093675169129567e+00,1.322396840042652011e+00,1.429086164252327373e+00,1.425178317329969468e+00,1.349654922374887933e+00,1.421410770584094596e+00,1.375105135013982682e+00,1.336077640734214533e+00,1.104631566266025322e+00,1.321272759164206168e+00,1.386600697306864971e+00,1.439824191528595865e+00,1.249122087632791755e+00,1.301093493158220316e+00,1.392358463018978476e+00,1.333281533447143286e+00,1.293337251821480960e+00,1.391727961786465739e+00,1.372450126199202369e+00,1.317592751762484582e+00,1.371787954740790294e+00,1.383423789256040592e+00,1.263738917296031161e+00,1.373857892853867835e+00,1.396634852050440800e+00,1.356173957930756346e+00,1.376864398389397781e+00,1.358431127729370580e+00,1.326920855778111363e+00,1.381333029639658649e+00,1.401216516056202233e+00,1.384540060563776098e+00,1.390094705006124975e+00,1.296994820675015481e+00,1.300184342600994469e+00,1.368843980653059678e+00,1.281543740502429696e+00,1.311575069530584559e+00,1.354795554908936106e+00,1.271820520789021192e+00,1.401453024985871210e+00,1.425269931150643821e+00,1.383329763202529650e+00,1.361545253174071268e+00,1.273657134962017601e+00,1.317652171035003983e+00,1.287597583746880492e+00,1.396755085370464444e+00,1.373221416585602928e+00,1.386325207206443588e+00,1.363961005665779824e+00,1.314306662527036540e+00,1.444469864023214756e+00,1.359136393937165899e+00,1.299719956749252336e+00,1.309124060945907608e+00,1.370002762981969546e+00,1.371527394579153958e+00,1.266633312189701766e+00,1.417442747370376344e+00,1.354658509641958108e+00,1.366064589846110122e+00,1.239862387326233328e+00,1.349781677921379819e+00,1.335915501385212645e+00,1.340688275581812139e+00,1.366807338453317033e+00,1.381820329328169672e+00,1.335142407371783246e+00,1.247678375284537511e+00,1.394532279282866716e+00,1.340098813550009149e+00,1.345501978184139524e+00,1.328026482112104611e+00,1.340511597314819170e+00,1.371896875317024644e+00,inf,1.378911649054024746e+00,1.284743544945672999e+00,1.340958750650255826e+00,1.270483752461555538e+00,1.400446014221983448e+00,1.391343297449152860e+00,1.398943940674842512e+00,1.400897817155110747e+00,1.368097792197104701e+00,1.393551638023133865e+00,1.303938546873284698e+00,1.410148758449954798e+00,1.349257123012741477e+00,1.394943561823710043e+00,1.384270637910045565e+00,1.284313824077926824e+00,1.474527287634594064e+00,1.351792750462191384e+00,1.360209690117989867e+00,1.321922141482282598e+00,1.350103049377454845e+00,1.302856126077658105e+00,1.325755926488422887e+00
1.353972719388831347e+00,1.326002128143411563e+00,1.428500824102796996e+00,1.456190748889769626e+00,1.351880051089745960e+00,1.385648303322053465e+00,1.419726763883457421e+00,1.225186638740308309e+00,1.328690236455940088e+00,9.399244697442828977e-01,1.381722012270544697e+00,1.431255034684181693e+00,1.328032664994648115e+00,1.349551438272509785e+00,1.377095813055503992e+00,1.353290481353420338e+00,1.335434227836601373e+00,1.405763188093744454e+00,1.377289801618224896e+00,1.370965992249308041e+00,1.356011347483055740e+00,1.366200652728831288e+00,1.293698801202197046e+00,1.370186923986177252e+00,1.393770544457111571e+00,1.348440159904025215e+00,1.352265206448630241e+00,1.352455089083111739e+00,1.372718154528035139e+00,1.389905764373462693e+00,1.390653986828032318e+00,1.384969691083573595e+00,1.352205577362402877e+00,1.355058058209258398e+00,1.377282885262945733e+00,1.369328333259167696e+00,1.342206563813706177e+00,1.354779947351620661e+00,1.414233687104601511e+00,1.330671662678676315e+00,1.389466087683458584e+00,1.408836582423911743e+00,1.356767517490754082e+00,1.366388794747877888e+00,1.396550761281958319e+00,1.374829290787766611e+00,1.379869433611217167e+00,1.377482031017922326e+00,1.384017565330430077e+00,1.395652909216974935e+00,1.402598900304417029e+00,1.334261720814908347e+00,1.468484139572673763e+00,1.383620611411443324e+00,1.353170973184033121e+00,1.323898413190924606e+00,1.370450257427657137e+00,1.385435324865900819e+00,1.359264001445104064e+00,1.382510973928508413e+00,1.382458185805364836e+00,1.349637707949677079e+00,1.374594651818782820e+00,1.371026447524535952e+00,1.353942815261224730e+00,1.384051858786990552e+00,1.321227944013763533e+00,1.401769018301144420e+00,1.360437742586619203e+00,1.329930538095064341e+00,1.389900771807738078e+00,1.349282196825610347e+00,1.357495186896058970e+00,1.317667027372192434e+00,1.351959750534449167e+00,1.372785573736707398e+00,inf,1.370127846474562983e+00,1.337488909411981952e+00,1.330699430054549159e+00,1.357868705477012217e+00,1.386777377093867836e+00,1.401140342634206393e+00,1.404397673159393678e+00,1.352594639596557569e+00,1.379510811472083986e+00,1.386455933676695063e+00,1.354496144486670328e+00,1.403819203542081784e+00,1.364655268049228320e+00,1.422640196071202734e+00,1.413651507589354761e+00,1.358752408765862896e+00,1.464991677094450218e+00,1.353654677889723157e+00,1.371736282419119268e+00,1.370377183056265880e+00,1.343438479366062976e+00,1.308136068000846475e+00,1.354228573026822202e+00
